ticker,timeframe_min,date,time,div_type,expected_dir,spo_value,entry_price,price_level,move_5b,move_5b_pct,mfe_5b,mae_5b,n_bars_5b,move_15b,move_15b_pct,mfe_15b,mae_15b,n_bars_15b,move_30b,move_30b_pct,mfe_30b,mae_30b,n_bars_30b,move_eod,move_eod_pct,mfe_eod,mae_eod,n_bars_eod
SPY,3,2025-10-02,09:45,hidden_bull,up,-101.4,669.52,668.885,-0.49,-0.0732,0.1185,0.77,5,-0.89,-0.1329,0.1185,1.23,15,-2.17,-0.3241,0.1185,2.5,30,-0.23,-0.0344,0.21,2.74,125
SPY,3,2025-10-10,11:33,bull,up,-134.84,661.2,659.92,1.8,0.2722,2.505,1.73,5,-0.3,-0.0454,2.89,1.73,15,-3.26,-0.493,2.89,3.26,30,-7.63,-1.154,2.89,8.6,89
SPY,10,2025-10-10,13:10,bull,up,-102.78,658.66,657.84,0.27,0.041,2.27,0.555,5,-2.7,-0.4099,2.27,4.6,15,-5.09,-0.7728,2.27,6.06,17,-5.09,-0.7728,2.27,6.06,17
SPY,3,2025-10-31,09:45,hidden_bull,up,-109.91,683.54,683.0,-0.05,-0.0073,0.67,0.54,5,-0.06,-0.0088,0.67,1.33,15,0.84,0.1229,1.21,1.33,30,-1.7503,-0.2561,1.26,4.3,125
SPY,3,2025-11-06,10:45,bull,up,-103.25,671.28,670.9,0.02,0.003,0.62,0.52,5,-0.32,-0.0477,0.74,1.06,15,-1.43,-0.213,0.74,2.27,30,-0.68,-0.1013,2.42,2.56,105
SPY,5,2025-11-06,10:50,bull,up,-101.95,671.72,670.9,-0.71,-0.1057,0.3,1.18,5,-1.26,-0.1876,0.3,2.71,15,-1.13,-0.1682,0.3,3.0,30,-0.9608,-0.143,1.98,3.0,62
SPY,10,2025-11-06,12:00,bull,up,-108.98,670.46,669.01,0.67,0.0999,1.12,1.74,5,2.77,0.4131,3.24,1.74,15,0.4,0.0597,3.24,1.74,24,0.4,0.0597,3.24,1.74,24
SPY,3,2025-11-20,11:54,hidden_bear,down,-102.9,661.59,665.79,2.87,0.4338,3.19,0.79,5,3.68,0.5562,6.14,0.79,15,2.56,0.3869,6.14,0.79,30,9.24,1.3966,9.9,0.79,82
SPY,3,2025-11-20,12:00,bull,up,-135.06,661.32,659.39,-3.89,-0.5882,0.58,4.01,5,-5.43,-0.8211,0.58,5.87,15,-2.71,-0.4098,0.65,5.87,30,-8.97,-1.3564,0.65,9.63,80
SPY,3,2025-11-20,12:21,bull,up,-110.0,658.64,656.6,-0.82,-0.1245,0.9,3.19,5,0.82,0.1245,1.02,3.19,15,-4.38,-0.665,3.33,4.44,30,-6.29,-0.955,3.33,6.95,73
SPY,3,2025-12-08,09:42,hidden_bull,up,-100.15,685.92,685.62,-0.48,-0.07,0.18,0.94,5,-1.365,-0.199,0.18,2.0476,15,-2.5099,-0.3659,0.18,3.01,30,-2.39,-0.3484,0.18,4.35,126
SPY,5,2025-12-12,11:05,bull,up,-129.69,680.94,680.62,-0.62,-0.0911,0.77,1.24,5,1.76,0.2585,2.08,1.7656,15,2.69,0.395,3.4,1.7656,30,1.06,0.1557,3.4,1.7656,59
SPY,3,2025-12-12,11:06,bull,up,-119.33,681.03,680.47,-1.06,-0.1556,0.68,1.33,5,-1.19,-0.1747,0.68,1.8556,15,1.38,0.2026,1.99,1.8556,30,0.74,0.1087,3.31,1.8556,98
SPY,5,2025-12-15,10:05,hidden_bull,up,-108.66,681.82,681.18,-0.92,-0.1349,2.79,2.57,5,0.74,0.1085,2.79,2.57,15,-0.99,-0.1452,2.79,2.57,30,-1.04,-0.1525,2.79,2.57,71
SPY,3,2025-12-15,10:18,bull,up,-104.95,681.19,680.76,-0.12,-0.0176,3.42,1.94,5,-0.15,-0.022,3.42,1.94,15,-0.2,-0.0294,3.42,1.94,30,-0.49,-0.0719,3.42,1.94,114
SPY,5,2025-12-24,12:15,bear,down,107.36,690.37,690.64,0.02,0.0029,0.1,0.46,5,0.52,0.0753,0.52,0.46,10,0.52,0.0753,0.52,0.46,10,0.52,0.0753,0.52,0.46,10
