ticker,date,direction,n_comp,range_high,range_low,range_size,entry_price,stop,target,exit_price,exit_date,risk,pnl_per_share,r_multiple,result,exit_reason
JNJ,2024-07-19,long,1,151.08,149.16,1.92,156.51,149.16,171.21,159.46,2024-08-19,7.35,2.95,0.4014,WIN,maxhold
JNJ,2024-09-27,short,5,168.35,162.72,5.63,162.0,168.35,149.3,161.13,2024-10-28,6.35,0.87,0.137,WIN,maxhold
JNJ,2025-09-29,long,5,178.51,173.33,5.18,179.825,173.33,192.815,192.815,2025-10-14,6.495,12.99,2.0,WIN,target
JNJ,2025-11-17,long,4,195.545,185.12,10.425,196.96,185.12,220.64,209.8,2025-12-18,11.84,12.84,1.0845,WIN,maxhold
JNJ,2026-01-15,long,5,214.39,203.85,10.54,218.23,203.85,246.99,244.13,2026-02-17,14.38,25.9,1.8011,WIN,maxhold
JNJ,2026-04-21,short,5,244.2,233.25,10.95,229.35,244.2,199.65,226.1,2026-04-22,14.85,3.25,0.2189,WIN,maxhold
JPM,2018-02-16,long,5,114.45,106.2299,8.2201,114.55,106.2299,131.1902,115.1,2018-03-19,8.3201,0.55,0.0661,WIN,maxhold
JPM,2018-03-26,short,3,116.63,109.54,7.09,109.19,116.63,94.31,109.97,2018-04-26,7.44,-0.78,-0.1048,LOSS,maxhold
JPM,2018-09-21,long,5,114.88,112.67,2.21,119.13,112.67,132.05,112.67,2018-09-28,6.46,-6.46,-1.0,LOSS,stop
JPM,2018-10-12,short,4,116.1,111.47,4.63,110.37,116.1,98.91,111.42,2018-11-12,5.73,-1.05,-0.1832,LOSS,maxhold
JPM,2019-03-15,long,5,104.79,101.99,2.8,105.41,101.99,112.25,101.99,2019-03-22,3.42,-3.42,-1.0,LOSS,stop
JPM,2019-08-07,short,5,117.18,111.4,5.78,108.0,117.18,89.64,113.71,2019-09-09,9.18,-5.71,-0.622,LOSS,maxhold
JPM,2020-01-28,short,5,138.285,132.32,5.965,132.84,138.285,121.95,138.285,2020-02-06,5.445,-5.445,-1.0,LOSS,stop
JPM,2020-02-26,short,5,138.39,130.7988,7.5912,126.93,138.39,104.01,104.01,2020-03-09,11.46,22.92,2.0,WIN,target
JPM,2020-08-11,long,5,99.49,95.03,4.46,103.86,95.03,121.52,99.97,2020-09-11,8.83,-3.89,-0.4405,LOSS,maxhold
JPM,2020-09-22,short,5,103.46,97.44,6.02,94.96,103.46,77.96,103.5,2020-10-23,8.5,-8.54,-1.0047,LOSS,maxhold
JPM,2020-11-10,long,2,105.1,101.0,4.1,117.35,101.0,150.05,118.94,2020-12-11,16.35,1.59,0.0972,WIN,maxhold
JPM,2020-12-24,long,5,125.0,118.27,6.73,125.09,118.27,138.73,138.73,2021-01-12,6.82,13.64,2.0,WIN,target
JPM,2021-05-07,long,4,158.28,152.14,6.14,157.22,152.14,167.38,167.38,2021-06-02,5.08,10.16,2.0,WIN,target
JPM,2021-08-13,long,5,158.55,149.52,9.03,161.79,149.52,186.33,158.53,2021-09-13,12.27,-3.26,-0.2657,LOSS,maxhold
JPM,2021-11-22,short,5,167.785,162.56,5.225,164.16,167.785,156.91,167.785,2021-11-23,3.625,-3.625,-1.0,LOSS,stop
JPM,2022-08-17,long,1,122.25,119.44,2.81,122.3,119.44,128.02,119.44,2022-08-19,2.86,-2.86,-1.0,LOSS,stop
JPM,2023-01-09,long,5,136.74,130.55,6.19,138.6,130.55,154.7,143.12,2023-02-09,8.05,4.52,0.5615,WIN,maxhold
JPM,2023-06-05,long,5,137.72,134.4044,3.3156,140.11,134.4044,151.5212,143.02,2023-07-06,5.7056,2.91,0.51,WIN,maxhold
JPM,2023-07-12,long,2,145.99,143.0,2.99,147.45,143.0,156.35,156.35,2023-07-20,4.45,8.9,2.0,WIN,target
JPM,2023-08-18,short,5,155.44,149.68,5.76,147.65,155.44,132.07,148.16,2023-09-18,7.79,-0.51,-0.0655,LOSS,maxhold
